Edad,Fallecidos,Graves,Menos_Graves,Leves
0,0,2,5,26
1,4,20,6,99
2,5,18,10,92
3,6,23,10,108
4,2,23,10,165
5,2,14,13,158
6,2,19,15,150
7,4,14,17,152
8,2,22,14,159
9,2,24,14,167
10,1,23,19,155
11,1,23,21,157
12,2,22,12,149
13,5,25,17,153
14,3,34,15,168
15,4,34,24,217
16,11,48,14,273
17,14,73,34,365
18,17,121,59,518
19,25,128,90,635
20,26,149,64,711
21,33,184,91,826
22,31,166,117,904
23,37,195,103,941
24,46,185,116,962
25,31,187,96,952
26,36,225,97,973
27,40,212,111,1009
28,35,163,87,951
29,29,193,103,928
30,41,156,92,944
31,40,150,82,833
32,36,154,75,814
33,25,133,66,759
34,17,131,73,685
35,31,100,76,681
36,31,120,48,617
37,23,113,48,570
38,27,113,67,704
39,24,99,61,574
40,15,98,41,580
41,23,88,62,481
42,30,87,53,492
43,21,76,46,441
44,20,81,49,481
45,18,85,48,498
46,17,71,58,464
47,24,82,37,469
48,28,83,54,445
49,23,72,33,409
50,27,91,41,423
51,16,86,44,366
52,18,76,48,431
53,13,81,48,372
54,21,67,37,375
55,27,90,48,368
56,16,82,33,376
57,18,92,28,375
58,18,82,36,343
59,22,72,26,260
60,14,64,29,265
61,21,69,18,247
62,18,53,24,251
63,19,53,24,249
64,18,51,23,232
65,8,54,26,189
66,12,51,20,162
67,14,58,21,154
68,10,38,16,146
69,16,30,18,113
70,15,27,12,132
71,10,36,16,121
72,12,27,16,98
73,5,27,22,90
74,5,36,11,101
75,8,23,13,68
76,5,31,7,70
77,8,15,10,70
78,3,27,9,40
79,9,18,9,45
80,4,15,6,46
81,4,12,3,21
82,9,6,1,21
83,3,14,6,25
84,6,3,0,18
85,4,6,6,14
86,0,4,2,12
87,2,1,1,6
88,1,7,4,11
89,2,3,0,2
90,0,5,0,5
